,pubchem id,common name,flavor profile
236,8785,Benzyl Acetate,"{'apple', 'jasmin', 'cherry', 'sweet', 'fruity', 'apricot', 'plum', 'boiled vegetable', 'jasmine', 'fresh', 'floral', 'bitter'}"
237,8792,Phenylethyl isovalerate,"{'sweet', 'rose', 'fruity', 'apricot', 'peach', 'floral', 'bitter'}"
238,8842,Citronellol,"{'rose bud', 'geranium', 'leather', 'citrus', 'rose', 'waxy', 'floral', 'bitter'}"
239,8857,Ethyl Acetate,"{'weedy', 'balsam', 'sweet', 'anise', 'ethereal', 'fruity', 'pineapple', 'green'}"
240,8858,Mesityl Oxide,"{'vegetable', 'chemical', 'acrylic', 'pungent', 'sweet', 'earthy'}"
241,8868,ethyl acetoacetate,"{'apple', 'fatty', 'fruity', 'fresh', 'green'}"
242,8892,Hexanoic Acid,"{'fatty', 'cheese', 'sweat', 'sour'}"
243,8908,Hexyl acetate,"{'apple', 'fruit', 'sweet', 'herb', 'fruity', 'banana', 'green', 'bitter'}"
244,8914,1-Nonanol,"{'fat', 'dusty', 'fatty', 'rose', 'clean', 'green', 'wet', 'orange', 'fresh', 'floral', 'oily', 'bitter'}"
245,8918,Nonyl Acetate,"{'soapy', 'fruit', 'sweet', 'gardenia', 'clean', 'tropical', 'waxy', 'fruity', 'green', 'bitter'}"
246,9016,"1,4-Dimethoxybenzene","{'sweet', 'fennel', 'new mown hay', 'green', 'bitter'}"
247,9017,Citronellyl acetate,"{'fruit', 'lemon', 'rose', 'tropical', 'fruity', 'dust', 'woody', 'floral', 'green', 'citrus'}"
248,9064,Cianidanol,{'bitter'}
249,9256,Thiazole,"{'meaty', 'nutty', 'pyridine'}"
250,9261,Pyrazine,"{'hazelnut', 'pungent', 'roasted', 'barley', 'sweet corn'}"
251,9589,3-Acetylpyridine,"{'sweet', 'dry', 'phenolic', 'hawthorn', 'popcorn', 'woody', 'nutty'}"
252,9609,Diethyl sulfide,"{'ethereal', 'sulfurous'}"
253,9862,6-Methyl-5-Hepten-2-One,"{'apple', 'citrus', 'hazelnut', 'lemongrass', 'rubber', 'pepper', 'mushroom', 'musty', 'nutty', 'green', 'bitter'}"
254,9895,beta-Cyclocitral,"{'herbal', 'tobacco', 'saffron', 'damascone', 'mint', 'sweet', 'rose oxide', 'clean', 'tropical', 'fruity', 'minty'}"
255,10341,2(5H)-Furanone,{'buttery'}
